Course ID,Course Name,Average Rating,Average Sentiment Score,Average Score,Platform,Institution,Course URL,Number of Ratings,Number of Reviews
954804,Oracle Database 12c SQL Certified Associate 1Z0-071,3.0,4.44,7.439999999999999,Udemy ,Not Available,Not Available,2,2
955080,The Web Developer Bootcamp,3.6666666666666665,3.14,6.806666666666668,Udemy ,Not Available,Not Available,3,3
955138,Software Testing/ QA : Learn Testing with live examples..,4.0,4.5600000000000005,8.56,Udemy ,Not Available,Not Available,1,1
955194,GraphQL with React: The Complete Developers Guide,3.5,3.608,7.108,Udemy ,Not Available,Not Available,5,5
955696,Boost Your C# With Structural And Creational Design Patterns,5.0,4.08,9.08,Udemy ,Not Available,Not Available,5,5
955730,HTML5 and JavaScript: Guide on HTML5 and Javascript,4.285714285714286,4.0,8.285714285714286,Udemy ,Not Available,Not Available,7,7
956090,C# Basics for Beginners: Learn C# Fundamentals by Coding,4.65625,3.90625,8.5625,Udemy ,Not Available,Not Available,32,32
956726,Learn to code by building 6 games in the Unreal Engine!,4.102941176470588,3.7917647058823527,7.894705882352942,Udemy ,Not Available,Not Available,34,34
956888,Google Script How to Update Google Sheet data from a web App,4.2368421052631575,4.282105263157895,8.518947368421053,Udemy ,Not Available,Not Available,19,19
957090,Go: The Complete Developer's Guide (Golang),4.2,4.276,8.476,Udemy ,Not Available,Not Available,10,10
957362,Modern JavaScript From The Beginning,4.625,3.52,8.145,Udemy ,Not Available,Not Available,4,4
957372,Ethereum and Solidity: The Complete Developer's Guide,4.5,4.206666666666667,8.706666666666665,Udemy ,Not Available,Not Available,6,6
957422,How to Create A Website: An HTML Tutorial and CSS Tutorial,4.575342465753424,4.112602739726028,8.687945205479453,Udemy ,Not Available,Not Available,73,73
958132,Learn By Example: jQuery,4.6923076923076925,3.766153846153846,8.458461538461538,Udemy ,Not Available,Not Available,13,13
958272,Learn to Program by Making Games in Unity,4.588235294117647,3.5035294117647062,8.091764705882353,Udemy ,Not Available,Not Available,17,17
95848,Open your first Shop Step by step MAGENTO 2 Free Edition '19,3.685185185185185,3.9903703703703695,7.6755555555555555,Udemy ,Not Available,Not Available,27,27
958492,PYTHON - A to Z Full Course for Beginners,4.136904761904762,3.904047619047619,8.040952380952382,Udemy ,Not Available,Not Available,84,84
958532,Bash Scripting and Shell Programming (Linux Command Line),4.329383886255924,4.012132701421801,8.341516587677726,Udemy ,Not Available,Not Available,211,211
958750,The Complete React Native + Hooks Course [2019 Edition],4.275,3.965,8.24,Udemy ,Not Available,Not Available,20,20
958994,Building Recommender Systems with Machine Learning and AI,3.857142857142857,4.082857142857143,7.939999999999999,Udemy ,Not Available,Not Available,7,7
959040,iOS 10 & Swift 3: From Beginner to Paid ProfessionalÃ¢Â„Â¢,5.0,2.5,7.5,Udemy ,Not Available,Not Available,1,1
959200,Unreal Engine C++ Developer: Learn C++ and Make Video Games,4.026315789473684,3.8947368421052633,7.921052631578948,Udemy ,Not Available,Not Available,19,19
959308,Node with SocketIO: Build A Full Web Chat App From Scratch,4.7,4.32,9.02,Udemy ,Not Available,Not Available,5,5
959586,"Machine Learning, Data Science and Deep Learning with Python",3.875,3.6875,7.5625,Udemy ,Not Available,Not Available,16,16
959604,Ultimate Web Designer & Developer Course: Build 23 Projects!,4.428571428571429,4.282857142857143,8.711428571428572,Udemy ,Not Available,Not Available,7,7
959700,The Complete React Native + Hooks Course [2019 Edition],4.3075,3.9713,8.2788,Udemy ,Not Available,Not Available,400,400
959810,React Native for Absolute Beginners,4.5625,4.2725,8.835,Udemy ,Not Available,Not Available,8,8
960196,C++ Basics - As Soon As Possible,4.857142857142857,3.817142857142857,8.674285714285714,Udemy ,Not Available,Not Available,7,7
960228,Javascript for Beginners,4.285714285714286,3.902857142857143,8.188571428571429,Udemy ,Not Available,Not Available,7,7
960736,Learn and Understand C# Delegates fast by coding,4.45,3.58,8.03,Udemy ,Not Available,Not Available,10,10
960796,Software Engineer Interview Unleashed,4.396551724137931,4.065862068965517,8.462413793103448,Udemy ,Not Available,Not Available,58,58
960828,gRPC [Java] Master Class: Build Modern API & Micro services,4.5,4.52,9.02,Udemy ,Not Available,Not Available,1,1
961204,CSS JS: CSS3 and Object Oriented Javascript [WEEKLY UPDATED],4.25,3.7466666666666666,7.996666666666667,Udemy ,Not Available,Not Available,6,6
961206,The Agile Samurai Bootcamp,4.785714285714286,4.202857142857143,8.98857142857143,Udemy ,Not Available,Not Available,7,7
961208,Docker Crash Course for busy DevOps and Developers,4.083333333333333,3.466666666666667,7.55,Udemy ,Not Available,Not Available,6,6
961216,C++ for beginners | Learn by doing Expressions in C++,4.0,3.8175,7.8175,Udemy ,Not Available,Not Available,8,8
961220,Basics of HTML5 and complete guide on Javascript,3.857142857142857,4.328571428571428,8.185714285714285,Udemy ,Not Available,Not Available,7,7
961226,C Language + Algorithms + Data Structures = Power,3.75,3.945,7.694999999999999,Udemy ,Not Available,Not Available,4,4
961508,Data Analysis with Pandas and Python,3.888888888888889,3.94,7.82888888888889,Udemy ,Not Available,Not Available,9,9
